TOTAL,SW,EB,INST_TOT,INST_SW,INST_EB,STATE,YEAR
5403.0,3459.0,1164.0,3121.0,2147.0,707.0,Florida,1998
5629.0,3795.0,1075.0,3505.0,2594.0,706.0,Georgia,1998
5859.0,3744.0,1246.0,3750.0,2576.0,854.0,Hawaii,1998
4675.0,2997.0,878.0,2923.0,2085.0,595.0,Idaho,1998
6236.0,4077.0,929.0,3699.0,2832.0,584.0,Illinois,1998
6178.0,3969.0,1382.0,3795.0,2707.0,962.0,Indiana,1998
5961.0,3956.0,966.0,3648.0,2636.0,638.0,Iowa,1998
5794.0,3868.0,731.0,3279.0,2567.0,464.0,Kansas,1998
5222.0,3504.0,860.0,3162.0,2396.0,555.0,Kentucky,1998
5085.0,3346.0,890.0,3074.0,2248.0,607.0,Louisiana,1998
6668.0,4154.0,1445.0,4467.0,2990.0,1010.0,Maine,1998
6944.0,4334.0,1496.0,4315.0,2956.0,1057.0,Maryland,1998
7651.0,4731.0,1201.0,5110.0,3527.0,919.0,Massachusetts,1998
6928.0,4543.0,1509.0,4050.0,2858.0,937.0,Michigan,1998
6239.0,4251.0,1000.0,3965.0,2953.0,707.0,Minnesota,1998
4289.0,2756.0,684.0,2616.0,1924.0,461.0,Mississippi,1998
5491.0,3766.0,718.0,3387.0,2560.0,472.0,Missouri,1998
5651.0,3604.0,974.0,3543.0,2548.0,678.0,Montana,1998
5779.0,3615.0,941.0,3713.0,2557.0,668.0,Nebraska,1998
5286.0,3564.0,974.0,3180.0,2356.0,652.0,Nevada,1998
6091.0,3846.0,860.0,4008.0,2896.0,623.0,New Hampshire,1998
9658.0,6293.0,1480.0,5813.0,4217.0,935.0,New Jersey,1998
4970.0,3109.0,796.0,2838.0,2088.0,518.0,New Mexico,1998
8860.0,6003.0,1579.0,6034.0,4499.0,1201.0,New York,1998
5239.0,3592.0,838.0,3342.0,2471.0,633.0,North Carolina,1998
5069.0,3185.0,828.0,3092.0,2243.0,594.0,North Dakota,1998
6166.0,4066.0,1116.0,3621.0,2648.0,686.0,Ohio,1998
4955.0,3096.0,766.0,2905.0,2085.0,515.0,Oklahoma,1998
6452.0,3846.0,1351.0,3819.0,2574.0,851.0,Oregon,1998
7293.0,4595.0,1337.0,4598.0,3292.0,927.0,Pennsylvania,1998
7564.0,4901.0,1529.0,4975.0,3607.0,1124.0,Rhode Island,1998
5269.0,3466.0,848.0,3144.0,2343.0,564.0,South Carolina,1998
4574.0,2972.0,648.0,2831.0,2088.0,448.0,South Dakota,1998
4875.0,3246.0,661.0,3168.0,2308.0,450.0,Tennessee,1998
5351.0,3785.0,533.0,3290.0,2595.0,340.0,Texas,1998
3930.0,2475.0,877.0,2590.0,1774.0,627.0,Utah,1998
6841.0,4429.0,1074.0,4358.0,3218.0,772.0,Vermont,1998
5989.0,4145.0,1108.0,3700.0,2736.0,733.0,Virginia,1998
5952.0,3803.0,1109.0,3552.0,2498.0,726.0,Washington,1998
6265.0,3912.0,1553.0,3878.0,2661.0,1049.0,West Virginia,1998
7074.0,4291.0,1538.0,4476.0,3089.0,1074.0,Wisconsin,1998
6213.0,3971.0,1148.0,3770.0,2680.0,756.0,Wyoming,1998
6458.0,4243.0,1086.0,3979.0,2897.0,729.0,United States,1999
5184.0,3525.0,736.0,3208.0,2442.0,485.0,Alabama,1999
8472.0,5024.0,1394.0,5208.0,3471.0,948.0,Alaska,1999
4629.0,3126.0,583.0,2679.0,2059.0,378.0,Arizona,1999
5205.0,3459.0,835.0,3150.0,2248.0,516.0,Arkansas,1999
5797.0,3908.0,895.0,3539.0,2587.0,590.0,California,1999
5876.0,3854.0,711.0,3436.0,2556.0,462.0,Colorado,1999
8632.0,5662.0,1408.0,5537.0,4050.0,990.0,Connecticut,1999
7536.0,4527.0,1423.0,4678.0,3225.0,993.0,Delaware,1999
9645.0,5549.0,822.0,4370.0,3345.0,507.0,District of Columbia,1999
5651.0,3610.0,1182.0,3256.0,2230.0,715.0,Florida,1999
6074.0,4105.0,1150.0,3803.0,2818.0,765.0,Georgia,1999
6082.0,4172.0,1047.0,3818.0,2825.0,713.0,Hawaii,1999
5009.0,3197.0,914.0,3119.0,2213.0,619.0,Idaho,1999
6760.0,4343.0,1051.0,4079.0,3016.0,687.0,Illinois,1999
6625.0,4156.0,1606.0,4072.0,2825.0,1115.0,Indiana,1999
6229.0,4223.0,1026.0,3645.0,2745.0,665.0,Iowa,1999
5919.0,3983.0,768.0,3368.0,2641.0,487.0,Kansas,1999
