STATE,A_MEDIAN,OCC_CAT,YEAR
Illinois,24450,41,2008
Illinois,30720,43,2008
Illinois,25550,45,2008
Illinois,57770,47,2008
Illinois,42110,49,2008
Illinois,29040,51,2008
Illinois,28110,53,2008
Indiana,30340,00,2008
Indiana,77180,11,2008
Indiana,51520,13,2008
Indiana,59990,15,2008
Indiana,59750,17,2008
Indiana,46790,19,2008
Indiana,34230,21,2008
Indiana,50910,23,2008
Indiana,38750,25,2008
Indiana,32980,27,2008
Indiana,50320,29,2008
Indiana,24070,31,2008
Indiana,31980,33,2008
Indiana,16440,35,2008
Indiana,21080,37,2008
Indiana,19450,39,2008
Indiana,22580,41,2008
Indiana,27910,43,2008
Indiana,25390,45,2008
Indiana,40620,47,2008
Indiana,38620,49,2008
Indiana,30610,51,2008
Indiana,27810,53,2008
Iowa,29430,00,2008
Iowa,73080,11,2008
Iowa,49160,13,2008
Iowa,60950,15,2008
Iowa,57200,17,2008
Iowa,47850,19,2008
Iowa,33380,21,2008
Iowa,50990,23,2008
Iowa,35420,25,2008
Iowa,29830,27,2008
Iowa,47020,29,2008
Iowa,23820,31,2008
Iowa,34320,33,2008
Iowa,16530,35,2008
Iowa,20880,37,2008
Iowa,18850,39,2008
Iowa,22150,41,2008
Iowa,27240,43,2008
Iowa,24620,45,2008
Iowa,36340,47,2008
Iowa,36090,49,2008
Iowa,29200,51,2008
Iowa,28370,53,2008
Kansas,30120,00,2008
Kansas,74620,11,2008
Kansas,52590,13,2008
Kansas,60620,15,2008
Kansas,62230,17,2008
Kansas,50700,19,2008
Kansas,34000,21,2008
Kansas,54910,23,2008
Kansas,36850,25,2008
Kansas,31160,27,2008
Kansas,48560,29,2008
Kansas,22420,31,2008
Kansas,32570,33,2008
Kansas,16220,35,2008
Kansas,20610,37,2008
Kansas,18600,39,2008
Kansas,22830,41,2008
Kansas,27180,43,2008
Kansas,24030,45,2008
Kansas,35100,47,2008
Kansas,37370,49,2008
Kansas,29500,51,2008
Kansas,27250,53,2008
Kentucky,29370,00,2008
Kentucky,72120,11,2008
Kentucky,47900,13,2008
Kentucky,56050,15,2008
Kentucky,58030,17,2008
Kentucky,46330,19,2008
Kentucky,35560,21,2008
Kentucky,49960,23,2008
Kentucky,42670,25,2008
Kentucky,30700,27,2008
Kentucky,49170,29,2008
Kentucky,23530,31,2008
Kentucky,28830,33,2008
Kentucky,15910,35,2008
Kentucky,19980,37,2008
Kentucky,18890,39,2008
Kentucky,20760,41,2008
Kentucky,26980,43,2008
Kentucky,23060,45,2008
Kentucky,35090,47,2008
Kentucky,36480,49,2008
Kentucky,29030,51,2008
Kentucky,27250,53,2008
Louisiana,28910,00,2008
Louisiana,67550,11,2008
Louisiana,47500,13,2008
Louisiana,51400,15,2008
Louisiana,60560,17,2008
Louisiana,52510,19,2008
Louisiana,38190,21,2008
Louisiana,52100,23,2008
Louisiana,40790,25,2008
Louisiana,32690,27,2008
Louisiana,48310,29,2008
Louisiana,19360,31,2008
Louisiana,28990,33,2008
Louisiana,15560,35,2008
Louisiana,18080,37,2008
Louisiana,17620,39,2008
Louisiana,20850,41,2008
Louisiana,25170,43,2008
Louisiana,28570,45,2008
Louisiana,34450,47,2008
Louisiana,35410,49,2008
Louisiana,33190,51,2008
Louisiana,26180,53,2008
Maine,30750,00,2008
Maine,69530,11,2008
Maine,49590,13,2008
Maine,56940,15,2008
Maine,56990,17,2008
Maine,48550,19,2008
Maine,34490,21,2008
Maine,53230,23,2008
Maine,37970,25,2008
Maine,32740,27,2008
Maine,56220,29,2008
Maine,24130,31,2008
Maine,32860,33,2008
Maine,18540,35,2008
Maine,23780,37,2008
Maine,20320,39,2008
Maine,23730,41,2008
Maine,28370,43,2008
Maine,29890,45,2008
Maine,34650,47,2008
Maine,36200,49,2008
Maine,30560,51,2008
Maine,26570,53,2008
Maryland,37780,00,2008
Maryland,95370,11,2008
Maryland,63720,13,2008
Maryland,81010,15,2008
Maryland,74210,17,2008
Maryland,68520,19,2008
Maryland,44040,21,2008
Maryland,49920,25,2008
Maryland,46600,27,2008
Maryland,69160,29,2008
Maryland,27850,31,2008
Maryland,41710,33,2008
Maryland,18130,35,2008
Maryland,22770,37,2008
Maryland,21800,39,2008
Maryland,25060,41,2008
Maryland,32660,43,2008
Maryland,23710,45,2008
Maryland,38960,47,2008
Maryland,41520,49,2008
Maryland,32110,51,2008
Maryland,29850,53,2008
Massachusetts,39700,00,2008
Massachusetts,101080,11,2008
Massachusetts,65470,13,2008
Massachusetts,83640,15,2008
Massachusetts,75080,17,2008
Massachusetts,66240,19,2008
Massachusetts,38760,21,2008
Massachusetts,79650,23,2008
Massachusetts,51290,25,2008
Massachusetts,47610,27,2008
